dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed,coverage,stretch,cp_quantile
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1989,0.9466666666666667,1.7189735774235695,4
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1989,1.0,1.828311266776947,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1989,0.9466666666666667,2.1964158658666295,12
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1989,0.9866666666666667,2.238181649233585,14
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1989,0.88,2.238181649233585,14
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1989,1.0,2.2682865410582047,19
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1990,0.96,1.6927688251734865,4
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1990,1.0,1.7965567911757974,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1990,0.9733333333333334,2.1438484620219755,12
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1990,1.0,2.181914021640691,14
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1990,0.96,2.1943137858341117,15
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1990,1.0,2.2091427138945905,19
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1991,1.0,1.8078493414016747,5
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1991,1.0,1.8078493414016747,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1991,0.9333333333333333,2.1659845647525486,12
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1991,0.9466666666666667,2.187862994614061,13
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1991,0.9733333333333334,2.225398915975411,16
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1991,0.9866666666666667,2.230733528437364,18
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1992,1.0,1.8633156499385828,5
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1992,1.0,1.8633156499385828,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1992,0.9466666666666667,2.2708830996527825,13
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1992,1.0,2.304707763607282,15
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1992,0.96,2.3193474906465936,17
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1992,1.0,2.3224871169827184,19
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1993,0.9333333333333333,1.7285457123033663,4
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1993,1.0,1.8398223755317242,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1993,0.9466666666666667,2.212110943704385,12
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1993,0.9866666666666667,2.2347898992225406,13
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1993,0.9333333333333333,2.267109167393542,15
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1993,1.0,2.2861123289590655,18
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1994,0.96,1.716121936829598,4
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1994,1.0,1.8216591707652894,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1994,0.84,2.145268047092886,11
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1994,1.0,2.224112787568294,15
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1994,0.9066666666666666,2.224112787568294,15
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1994,0.9866666666666667,2.24223332868151,18
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1995,0.9733333333333334,1.7303701122321051,4
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1995,1.0,1.8383502118646595,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1995,0.9333333333333333,2.1990265160392295,12
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1995,1.0,2.2520691136414914,15
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1995,0.9466666666666667,2.2520691136414914,15
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1995,1.0,2.266439064427357,18
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1996,0.9466666666666667,1.688794367384243,4
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1996,1.0,1.792794666096138,5
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1996,1.0,2.1607202447360407,13
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1996,1.0,2.1607202447360407,13
