dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed,coverage,stretch,cp_quantile
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1989,0.9,1.2038744846282332,5
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1989,0.976,4.225824221649175,59
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1989,0.928,2.058143375630491,24
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1989,0.916,2.5944892942301547,33
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1989,0.9,1.9704879572090928,21
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1989,0.992,6.5108013990868105,95
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1990,0.924,1.250483191643528,6
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1990,0.928,2.07830639620483,24
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1990,0.924,2.012971020784044,22
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1990,0.96,4.611365648821131,67
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1990,0.896,1.9304975180007355,21
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1990,0.956,4.512887118796443,68
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1991,0.92,1.2507330035149042,6
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1991,0.952,2.868546025963279,38
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1991,0.912,1.829567907215981,18
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1991,0.94,3.052175849821426,43
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1991,0.92,2.348304157141561,29
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1991,0.932,3.4148500971265032,48
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1992,0.892,1.1690801962731794,4
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1992,0.94,2.335454445360647,28
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1992,0.928,2.1144412098585774,24
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1992,0.976,5.065489334088967,74
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1992,0.904,1.99304793618407,21
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1992,0.948,4.089183438920433,59
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1993,0.868,1.115540733717527,3
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1993,0.964,3.9620061623562335,53
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1993,0.88,1.5771844330807798,14
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1993,0.96,4.635862504482124,67
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1993,0.908,1.9868544329335427,22
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1993,0.976,5.743152228302115,78
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1994,0.948,1.5062365947567518,12
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1994,0.928,2.0711691163263284,24
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1994,0.912,1.8374936024355772,18
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1994,0.956,4.196057845908918,64
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1994,0.892,1.7531224593359265,17
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1994,0.956,4.610222413703031,68
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1995,0.904,1.2039677432367768,5
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1995,0.96,3.3248112780956673,46
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1995,0.932,2.1873361633395922,26
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1995,0.98,5.348083822532645,76
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1995,0.9,2.028640855604928,21
