dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed,coverage,stretch,cp_quantile
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1989,0.904,1.2234914604002143,0.6094462077559912
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1989,0.956,2.748690067854673,0.700849066625989
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1989,0.94,12.951960866533584,0.7779760812289913
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1989,0.928,15.156456580112296,0.7984498037968262
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1989,0.932,16.12281899825779,0.813537265553073
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1989,0.94,15.401246210116625,0.8588348114832476
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1990,0.932,1.3557916639347507,0.6263981406102683
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1990,0.936,1.8236788790544587,0.6884317282783297
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1990,0.9,8.108556987641599,0.7368877134664524
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1990,0.972,15.341883008310658,0.8394333343647205
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1990,0.928,15.113554753728973,0.8132340514476111
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1990,0.956,14.416661942739747,0.8669844675328866
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1991,0.896,1.1333741759143319,0.5869700124650183
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1991,0.932,1.916449187976521,0.6849078074450725
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1991,0.896,8.323885496444152,0.7363772969613169
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1991,0.972,13.866409250051532,0.8394333343647205
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1991,0.944,15.384114437717196,0.8274977343550658
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1991,0.956,16.04196969106289,0.8669844675328866
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1992,0.868,1.0755062324043594,0.552761300201106
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1992,0.936,1.9875555847532418,0.6884317282783297
