dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed,coverage,stretch,cp_quantile
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1989,0.975,1.2075451628696314,2
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1989,1.0,2.12901173274878,11
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1989,0.975,2.0249978349753106,10
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1989,1.0,3.7785794404448425,25
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1989,0.975,2.2346505370567358,12
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1989,1.0,4.17924385197051,28
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1990,0.9,1.107214698086354,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1990,1.0,1.641748576636325,6
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1990,0.95,1.744927843089447,7
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1990,1.0,2.596038046461986,15
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1990,0.95,2.0551031750851365,10
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1990,1.0,2.941359724746416,18
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1991,0.975,1.0998427265817183,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1991,1.0,1.4051581613039814,4
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1991,0.875,1.4051581613039814,4
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1991,1.0,3.027495809117995,19
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1991,0.825,1.5081177948817373,5
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1991,1.0,3.3927766113246505,22
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1992,0.975,1.0994416549291688,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1992,1.0,1.303736163278008,3
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1992,1.0,1.7165205109613673,7
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1992,1.0,2.1348589922178984,11
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1992,1.0,1.9236493917773239,9
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1992,1.0,2.242714660058844,12
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1993,0.95,1.1033689273721012,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1993,0.975,1.4193448150813448,4
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1993,0.9,1.7350263005139657,7
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1993,1.0,2.388333024077042,13
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1993,0.9,1.9486684392065723,9
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1993,1.0,2.6148448576101027,15
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1994,1.0,1.1055183461766154,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1994,1.0,1.736049754628943,7
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1994,0.95,1.5287668548784001,5
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1994,1.0,3.042912544829853,19
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1994,0.925,1.632724106228722,6
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1994,1.0,3.4058032918103343,22
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1995,0.9,1.0,0
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1995,0.975,1.1017661351259127,1
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1995,0.925,1.3067265011465945,3
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1995,0.975,1.8107953680484479,8
