dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1989
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1989
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1989
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1989
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1989
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1989
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1990
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1990
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1990
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1990
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1990
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1990
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1991
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1991
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1991
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1991
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1991
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1991
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1992
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1992
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1992
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1992
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1992
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1992
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1993
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1993
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1993
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1993
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1993
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1993
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1994
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1994
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1994
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1994
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1994
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1994
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1995
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1995
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1995
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1995
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1995
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1995
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1996
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1996
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1996
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1996
oasis,universeg,cuda:1,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1996
oasis,universeg,cuda:1,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1996
oasis,universeg,cuda:1,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1997
oasis,universeg,cuda:1,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1997
oasis,universeg,cuda:1,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1997
oasis,universeg,cuda:1,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1997
