dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1989
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1989
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1989
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1989
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1989
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1989
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1990
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1990
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1990
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1990
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1990
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1990
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1991
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1991
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1991
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1991
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1991
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1991
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1992
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1992
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1992
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1992
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1992
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1992
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1993
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1993
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1993
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1993
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1993
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1993
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1994
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1994
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1994
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1994
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1994
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1994
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1995
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1995
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1995
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1995
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1995
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1995
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1996
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1996
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1996
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1996
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1996
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1996
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1997
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1997
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,1997
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,1997
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,1997
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,1997
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,1998
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,1998
