dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1989
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1989
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1989
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1989
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1989
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1989
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1990
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1990
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1990
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1990
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1990
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1990
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1991
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1991
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1991
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1991
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1991
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1991
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1992
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1992
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1992
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1992
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1992
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1992
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1993
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1993
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1993
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1993
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1993
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1993
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1994
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1994
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1994
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},1994
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},1994
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},1994
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},1995
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},1995
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},1995
